Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, skewed
Oats,Potatoes
8803,6270
3006,4939
5066,3838
6538,4882
6717,3963
8349,4833
9901,4862
7855,4931
4260,3529
8827,9450
3695,6356
9659,2661
3891,5983
6099,3123
4870,4377
5351,6851
5919,5687
3308,5929
5091,6726
2773,7506
5843,5957
7425,4876
3280,3501
4765,3548
5607,3876
6236,4341
11689,4693
6612,3486
5841,4628
6559,6342
6335,3423
5750,7919
5445,4304
3680,4143
4854,3375
6555,6873
9453,4229
7060,7767
6988,6818
8430,3988
10370,7807
7681,3936
6112,4300
4015,3740
10740,3776
12749,8411
7450,8636
7452,5176
4851,5532
3114,5043
7893,3964
3447,7165
4497,5496
7828,4586
7761,6373
4017,5750
7790,3820
6520,7636
8844,8167
4955,3337
3201,6045
2871,3737
9515,5113
4447,3180
6330,5384
2973,5744
4877,4680
6209,3975
3442,4766
6624,5217
5140,4032
6459,2970
6608,5050
5052,5212
5233,10093
4055,8932
3097,4460
6647,3901
6454,5284
9657,3898
10114,6417
6996,4925
4252,4104
5237,4807
7953,4255
4461,3601
4316,6132
3924,2397
7211,3009
3092,7241
6775,6114
3726,8478
6414,7043
2736,2638
6962,2994
6458,4673
3388,7625
10228,6073
3861,5510
7288,4331
3903,7159
4295,4145
3524,3459
7498,4872
4770,3547
4834,5336
10470,5255
4933,7325
6028,5327
7020,5504
3202,5754
9348,5052
8923,4442
3329,4370
8843,3017
6335,5382
3996,5698
6464,4622
