Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, t
Mapleton,Zephyr,Ashford
1218,1017,1393
374,1057,887
665,802,723
365,653,1087
578,1019,670
1297,49,1392
99,1100,1183
535,780,1525
366,1140,1343
663,633,1058
763,223,1527
434,561,1502
1650,1083,1164
1155,1357,1221
1595,1392,1603
390,991,1001
1241,1014,1369
1203,1199,908
52,911,1197
1277,108,619
987,1004,1747
1286,873,1050
898,962,1158
683,516,970
1412,1249,1226
208,445,1534
1287,746,1080
821,1264,1133
801,1103,805
1048,1076,990
1057,1229,1063
833,976,1463
801,939,1112
1511,398,1240
579,1043,1255
883,958,1325
771,893,1357
559,981,926
887,1134,1053
1152,775,1523
527,1026,1357
823,903,852
600,1119,1208
1639,1157,865
1071,945,1138
930,898,1451
1041,941,1734
1095,1149,1376
778,1103,1466
926,1096,758
1296,888,1625
1081,906,816
649,1174,1111
879,939,1201
1047,1406,1164
710,1012,809
1105,1445,1206
1347,724,940
912,1050,811
1187,919,1216
1018,749,727
1463,666,814
991,1111,982
1609,369,1385
911,879,1202
1366,751,495
952,1022,1084
1000,1027,980
903,908,946
1314,1099,960
1167,756,1480
1436,863,1263
1336,1014,1210
1063,1265,1111
937,905,1250
1074,611,1056
979,1009,1385
923,1442,660
984,1347,1361
851,1077,966
1177,904,380
825,963,1181
616,1150,1115
1025,1096,1768
1231,1254,1146
276,1051,924
1642,1282,791
849,993,1716
157,1245,896
1099,1059,679
641,951,1089
63,914,1302
772,902,1721
915,225,1679
820,952,1291
1622,1512,630
17,899,562
1077,1386,936
1898,976,1391
1188,653,1263
434,1205,1055
924,1202,965
1158,617,1579
958,1256,1471
1671,1031,1097
946,1319,758
1352,301,1320
317,1130,1377
1682,1057,502
1342,780,618
1161,859,969
1078,1293,1308
516,621,1533
815,1173,1395
