Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, normal
Westport,Lakeview,Dunvale
956,1166,1040
812,846,1237
1345,655,1254
355,1002,641
809,1023,1346
507,907,1001
797,1095,1423
563,1428,1205
862,1249,812
999,684,996
286,1098,795
600,1615,1118
243,1007,1151
861,945,1108
1023,1225,1843
876,736,1092
1026,558,1250
875,551,953
1199,587,1194
794,441,833
603,1127,863
975,490,1152
865,848,1586
260,692,1263
1136,1126,1114
307,429,573
674,463,1216
771,1214,998
1247,282,776
527,1294,1369
1315,339,771
1413,1082,1259
777,886,1536
865,571,1529
926,1147,482
741,710,1684
801,713,842
1021,1376,1303
1159,373,1587
1223,673,782
1192,26,692
1001,740,1063
429,1148,376
545,474,1359
360,793,1294
1197,1140,1527
1284,516,1189
946,1100,1727
310,540,723
768,923,1275
498,316,1463
1254,547,952
348,885,1113
1356,1606,1230
736,1114,1800
1077,1060,1222
989,1125,1121
576,1266,1427
1183,982,1292
811,1035,1201
744,724,1272
711,654,651
1133,523,788
835,1067,1034
1286,1524,868
903,650,1315
493,993,1252
564,700,1038
532,517,1131
439,1021,891
790,1463,727
1029,791,512
917,921,702
529,684,1238
837,911,1298
481,792,1356
793,923,1018
498,1309,1739
689,1192,824
625,407,984
858,151,559
327,912,705
1157,2,1170
652,1013,1209
1211,486,738
744,413,1265
897,1049,1322
1006,291,1225
484,418,346
773,854,1449
65,818,1124
911,1078,1458
1114,415,950
931,1280,971
1252,1024,828
609,181,1311
724,1507,1420
939,881,975
1206,533,1388
385,1040,1250
962,1546,1124
952,1345,808
436,538,1178
784,966,1164
715,719,1127
689,648,1065
1267,889,687
281,723,967
1151,970,650
961,736,765
1035,542,1281
641,424,1081
1203,1307,936
1220,833,1419
1006,1346,1104
652,810,1255
1253,1247,1148
1081,410,1099
