Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, skewed
Zephyr,Ashford,Mapleton,Pinehaven,Highvale,Glenhaven,Yorkton
1665,949,1000,1170,1197,1015,956
1608,1024,1465,948,1640,1459,1170
1342,1109,1801,1046,1257,1430,1713
1233,889,1178,1902,1241,999,1452
777,1067,979,1542,1225,1672,1352
988,1296,1059,1327,1055,1435,1357
1306,970,1721,1339,1146,1411,937
1167,1444,1031,876,1234,1281,1056
1277,1001,1967,1556,1312,1873,1019
919,1958,957,1157,1493,1400,1122
970,941,1166,1168,1022,1152,1528
781,1042,1349,1354,817,2053,947
764,1185,1166,1014,1065,1246,1114
1265,1267,1533,848,1587,1159,1177
1052,1073,1007,1129,2080,897,1774
1249,942,1507,1259,1324,1087,1543
977,954,1524,1207,1031,1239,1000
851,1575,944,1297,1215,1172,1063
863,985,1117,1156,1475,1162,1053
1035,1014,1318,1065,1197,1023,1006
1104,1155,1679,1009,1169,1051,1057
1209,1295,1319,1360,924,1283,1102
1487,925,2095,1004,1136,1051,987
1163,1443,897,1027,1178,1046,1694
851,961,1047,914,1164,990,933
844,1344,945,1580,1364,1000,1235
845,897,1310,1461,1040,1017,949
1058,1567,1100,1277,1480,1209,1118
825,1036,1398,1537,1410,1523,1009
1007,1012,1332,1656,852,921,955
1460,1212,1323,1651,1000,960,1203
1302,1713,1248,1167,840,908,1615
1092,1075,1003,1004,1019,1274,1270
1375,1094,1181,992,1031,1009,915
1461,953,1518,892,1267,1317,1491
1074,1710,2049,971,1218,1376,1413
1070,1180,1090,1742,1555,1003,1283
1268,1038,1167,1109,904,1163,1544
960,1128,1202,1357,1365,1230,1197
1194,1801,904,1841,1558,1223,1106
1441,1161,997,945,1051,977,1469
1352,1299,1351,937,925,1660,1348
1602,1188,1447,1208,1476,1170,1115
1052,1001,849,999,860,1102,1364
1247,945,1068,872,1166,1174,1307
1332,999,1045,1440,1109,1093,1067
923,1445,1804,1009,845,1206,933
1320,924,1046,1331,1651,1168,962
1254,1008,1088,962,1076,985,1357
1179,1322,1097,1052,1624,1135,1202
827,990,878,1480,927,1107,1168
1193,1204,1572,1279,1089,1325,1071
822,1528,995,1375,1002,1234,1085
1802,1319,1277,1055,1466,1829,1140
1083,916,867,936,909,1613,954
1303,1006,1257,1385,840,1173,958
1246,1417,1262,1540,1177,1365,1323
1190,1067,1121,876,952,1069,1048
1212,979,1271,1080,1217,1475,918
1146,1005,1426,902,994,1272,1454
1198,1088,1080,1538,1145,1466,1162
988,1082,894,1628,1091,1250,1120
1029,1767,1083,1838,917,1167,1482
1064,1425,1458,1026,1056,1434,1584
1111,1330,887,1010,1102,1260,1246
942,1104,1189,922,1464,995,1061
997,977,1464,869,979,927,1484
999,1193,1141,1290,1039,1466,1670
1155,1097,1825,1033,1589,1797,893
998,903,1401,1569,972,1561,1289
806,903,1246,1473,1038,1174,1287
1666,1253,1002,1016,1351,1573,1024
1168,1339,1295,1038,1163,1202,944
1448,1173,1387,1092,1024,1425,954
952,1154,1342,1209,1566,1018,1813
943,1011,1112,1180,1447,1062,1459
907,987,1126,1020,1475,1117,1166
851,955,1779,1134,1158,1610,935
978,1137,957,1624,1135,992,1580
907,1171,1235,912,1532,1226,1811
812,887,1194,933,1021,1373,956
939,1214,1226,1415,938,1478,933
1028,1010,1351,1086,931,1791,1650
839,1097,933,1040,910,1385,1196
1190,908,927,889,839,1210,1054
1398,1210,1109,1392,1268,1509,1084
857,1599,981,1037,1170,1264,1127
1065,1230,1533,926,1407,1055,1230
955,1328,1479,855,1127,985,1326
1111,1331,1612,1232,1043,960,1063
1479,1531,934,1378,1209,1209,1021
1503,1088,1272,1536,1117,1111,1217
1094,1108,1407,1241,1313,1015,1218
968,1137,1001,901,936,1394,1133
929,1196,1034,1022,874,980,1171
794,943,1157,1078,1872,940,1128
902,999,952,1092,948,1009,1275
784,1117,1013,1241,869,1305,1418
1007,1031,974,1065,1386,941,1365
1165,993,1050,1193,1090,1265,971
875,1053,1022,946,852,1017,1124
1152,1101,1855,1031,1021,1021,1597
966,1103,1057,1645,1325,1151,1377
1002,1201,1460,1576,1419,1653,1176
1027,1192,1628,1050,966,1705,986
903,931,945,1728,1274,905,1550
949,1061,1240,1119,956,1235,1333
817,1246,1398,1161,921,1252,1180
1275,999,1271,884,1461,1230,1112
1110,1210,1759,943,1038,1216,1500
1445,968,1352,1349,1048,1352,1585
1109,990,1612,1647,1054,912,1647
1004,1054,1442,1063,1246,1490,1057
1163,944,954,1370,924,1013,1487
1170,1234,1219,1335,1173,1417,964
843,999,919,926,1049,1323,1070
1043,1052,1769,1226,1033,1065,1560
1068,863,1557,1238,1252,1232,1119
