Human Resources and Employee Management, Salary of Employees in Different Cities, USD, skewed
Northgate,Springfield
88374,58234
50233,53770
68996,64495
56030,49521
62248,66242
64008,58964
79668,52460
47172,54606
50998,34903
65854,74837
57582,74544
60960,26362
140096,36758
58706,71141
30603,82709
38376,49702
45687,45447
39256,62893
52447,39210
49926,69156
64427,99666
80101,104289
61627,26940
52972,38127
79190,38880
54244,31798
36378,46242
41689,52554
60018,86445
39750,50760
71109,61226
58586,35920
49302,43454
39073,70099
55850,57388
127357,92227
91102,44321
36521,39050
44185,76960
38741,46834
92661,50761
76307,47389
70786,98506
100945,45539
44374,33073
42171,65737
47989,61808
49496,79943
39541,61906
37999,35154
31343,31944
53727,78125
46299,57624
81402,27643
52371,103484
79664,42614
79952,44868
46111,105287
71463,46356
50543,31253
145187,57462
58826,74387
105886,50294
104136,81146
34780,82963
120174,88639
97753,40226
25777,77517
58995,42127
84856,38064
44824,49673
69541,48093
75692,62766
56573,29352
61679,53363
67516,73808
76683,55977
66329,53215
27114,60925
60127,41655
56433,47275
53857,30717
40888,42943
105989,43561
50664,36389
47847,62480
115429,52768
51649,49435
51468,46518
77034,46260
88927,70473
63467,72260
97507,28842
97390,32409
74226,56841
46115,97333
70885,52974
85668,61314
78732,43778
88196,53968
34509,69595
45957,37903
46713,50201
44967,41079
55977,70194
62102,38918
47462,89478
59439,59729
74198,58970
111568,51008
79464,41104
109214,73508
78520,53341
44956,69066
77769,61460
64081,41587
69515,73851
53765,58941
