Human Resources and Employee Management, Salary of Employees in Different Cities, USD, skewed
Pinehaven,Highvale,Glenhaven
67446,98752,114640
83064,32670,66225
49905,96621,60504
31348,37026,86127
28412,66836,97973
41187,85017,40376
74026,52494,33862
42405,40766,44012
25721,50635,47552
76918,76434,33311
67033,34742,44745
64941,59057,44915
32784,72895,98656
39683,72639,73488
61871,64720,85247
42244,26718,49467
49103,75024,85254
35417,34225,31616
34985,48060,48773
44225,44270,51399
30134,52836,46800
51306,51207,45329
53219,87635,69679
78376,67832,43983
26566,79954,59667
45269,75174,77714
41915,21679,64118
26807,59050,47958
31169,117789,59382
48400,59598,87555
48214,55228,42918
35298,41096,54024
80653,75859,93094
66122,53843,47539
42276,40757,39441
91459,34187,103033
33785,34981,46802
23232,104890,86951
72974,40540,41325
45691,62374,46932
63199,40992,40169
86557,113050,78089
88942,75012,89971
33490,56232,91088
32134,47820,64333
53230,74017,28723
61857,45204,78502
67850,36626,50935
77247,66122,62195
46217,28410,46924
25272,59407,60547
46066,43543,54295
61822,50495,106186
42143,56227,44516
27570,47914,36424
33845,37637,46340
37945,46658,65907
72415,57058,67679
52154,26870,32228
31378,27399,114781
40016,70820,92690
39726,119687,54696
26109,103335,44290
27572,78718,33823
84720,25313,30426
40941,72477,54351
55462,52801,42408
64292,59850,33854
41845,25538,69360
67468,106549,50642
65727,39016,60049
52285,60315,60295
24205,29037,49121
28933,69465,38360
63065,45695,77374
82596,24436,42157
37103,71159,54294
86015,84037,62686
32263,53679,83627
25343,41840,54961
55752,50188,69479
26843,62555,60633
25444,94554,55074
43001,39678,45845
68434,68296,107233
75276,61852,43340
87151,55062,103594
84420,29842,43705
50333,131448,88295
34684,78030,83821
49339,42564,37890
52875,97960,79747
78760,94109,58515
32271,61121,84982
48312,74679,42734
35807,65050,83379
49377,25549,56786
60209,46261,90685
80147,95368,37802
34464,77388,50443
23951,70999,52915
56296,106829,31179
56242,81861,40631
78586,45045,41735
63973,57434,62458
58811,39530,28101
25613,75156,50728
67269,48560,51757
39528,33903,51392
27540,58821,67522
36921,94793,31540
39536,65788,27106
54087,37078,75175
55342,30188,29774
39482,100463,87974
36565,36458,63173
50347,91380,32560
69224,66513,52886
