Retail and E-commerce, Daily sales statistics by product category, thousand USD, skewed
Grocery,Health,Clothing
261,283,263
166,114,288
117,384,396
228,275,141
196,317,133
192,323,279
163,138,426
164,207,168
184,148,245
340,214,109
74,115,264
118,188,298
262,165,319
192,117,230
359,196,83
115,369,169
87,469,347
217,588,63
338,83,127
246,215,302
390,297,196
152,82,212
189,135,450
327,145,218
186,231,139
337,382,456
314,306,142
111,371,449
240,142,210
101,239,340
314,397,72
178,475,246
76,99,180
307,247,98
294,199,282
249,229,139
302,160,95
334,344,199
305,435,455
131,351,303
123,99,118
449,526,385
296,155,280
236,175,257
204,319,154
223,149,252
142,205,482
357,219,212
460,124,131
159,161,195
297,203,107
223,434,196
128,195,197
216,380,170
187,323,207
287,198,232
248,147,227
92,118,499
208,193,324
192,284,382
183,318,215
180,313,230
153,261,224
104,77,186
167,73,279
314,328,188
144,317,114
378,204,324
311,146,153
149,331,117
159,154,88
125,199,214
97,206,110
84,88,397
198,283,264
286,223,406
107,246,317
138,269,140
137,82,117
206,161,226
119,352,278
328,426,252
268,102,234
308,195,326
238,144,322
200,150,237
424,405,430
326,181,258
214,306,197
123,155,118
194,156,122
324,357,408
139,250,355
112,223,109
157,368,157
209,196,173
74,301,95
296,305,414
206,260,141
179,248,174
314,539,504
93,235,258
129,244,134
425,229,359
226,274,154
108,292,130
154,120,481
284,162,368
362,226,94
227,331,321
321,223,51
146,198,188
178,263,427
285,96,367
222,408,467
298,129,287
112,140,144
153,348,148
